insiderthreat,vector,date,user,source,action
0,2,1265048040,722,247,35
0,2,1264794660,673,379,35
0,0,1262866560,148,500,814
1,0,1278374400,961,990,760
1,0,1279756800,954,132,760
1,1,1280275200,948,988,15
1,2,1279670400,932,981,35
0,2,1263393540,404,911,31
1,2,1280880000,946,801,35
1,0,1291075200,12,194,749
1,0,1276646400,944,952,693
1,2,1291075200,924,954,35
0,2,1265023380,805,377,31
1,2,1293667200,928,970,31
0,2,1262621700,414,683,31
0,2,1263808680,338,483,35
1,2,1294185600,928,970,31
0,2,1264172640,832,386,31
1,0,1284422400,930,958,760
0,2,1263974880,493,410,31
1,2,1284508800,956,978,123
1,2,1297296000,5,977,31
1,0,1280793600,936,995,826
1,2,1303862400,918,996,1421
1,1,1283817600,913,775,135
1,1,1277251200,932,981,37
0,2,1263264840,121,708,35
1,0,1289520000,916,81,826
0,2,1262963940,23,155,31
0,2,1262948100,805,377,31
0,0,1262867040,187,375,1337
1,1,1280966400,8,273,80
1,1,1278892800,961,990,70
1,0,1283817600,960,998,409
0,0,1262867940,651,601,1362
0,2,1264494900,80,904,31
1,0,1295568000,935,868,692
1,2,1282780800,8,273,1421
1,0,1282262400,934,731,760
0,2,1264083960,493,410,35
1,0,1284940800,919,133,749
1,0,1295568000,923,965,1032
0,0,1262596140,69,554,1415
1,0,1292544000,937,950,1140
1,2,1281139200,957,428,1421
0,0,1262872800,113,829,595
0,2,1265071860,240,103,31
1,0,1288915200,955,388,627
1,0,1279670400,957,428,826
0,2,1264433040,471,171,31
1,2,1303257600,918,996,106
0,2,1263480840,184,66,35
0,2,1264162080,170,241,31
1,2,1302825600,953,976,1421
0,2,1264690380,383,263,35
0,2,1263552840,365,610,35
1,0,1277856000,957,428,760
1,0,1299456000,914,973,826
1,2,1301616000,6,969,35
0,0,1262699400,110,703,595
1,2,1302134400,11,669,31
1,0,1299110400,10,993,747
1,0,1287964800,2,555,749
0,0,1262866680,108,768,595
1,0,1278633600,957,428,693
0,0,1262683560,134,661,595
1,0,1280361600,951,951,826
0,0,1262859300,43,425,369
1,0,1280707200,948,988,627
1,2,1285027200,945,937,31
0,2,1264611300,80,904,35
0,2,1263996420,52,798,31
1,0,1287705600,910,960,336
0,2,1263227820,514,845,35
0,0,1262870280,198,797,649
1,0,1281484800,911,808,693
1,1,1287446400,950,920,71
1,0,1277683200,0,453,693
0,0,1262869980,30,826,1415
0,0,1262872440,76,502,1402
0,2,1265124120,219,528,35
1,2,1283472000,938,955,35
1,2,1300924800,914,973,31
0,2,1263811920,600,179,31
0,0,1262868480,454,476,217
1,0,1287100800,2,555,627
1,0,1279497600,961,990,760
0,0,1262863860,15,332,463
1,0,1293580800,952,634,760
0,0,1262869260,207,255,357
1,0,1283126400,934,731,760
1,2,1293494400,14,949,35
1,0,1287705600,920,884,693
1,0,1277251200,944,952,409
0,0,1262711820,88,192,595
1,0,1284595200,930,958,826
1,2,1289865600,910,960,35
1,0,1299110400,942,957,760
1,0,1285113600,926,29,409
1,0,1278374400,9,875,409
1,0,1298419200,6,969,409
0,0,1262770080,59,886,1415
1,2,1282176000,938,955,31
1,2,1290384000,924,954,35
1,0,1282003200,956,978,760
1,2,1281052800,9,875,1421
1,0,1282176000,934,731,693
1,0,1282780800,911,808,880
0,2,1263990480,104,210,31
1,0,1282089600,8,273,749
0,2,1262827560,495,777,35
1,2,1285891200,915,825,31
1,1,1282608000,911,808,79
0,2,1263387540,493,410,35
0,0,1262868180,20,913,524
0,2,1264596900,734,455,31
1,2,1282176000,938,968,35
0,2,1264503180,240,103,35
1,0,1278028800,0,453,409
0,0,1262871180,874,594,505
1,1,1283731200,930,958,154
0,0,1262871420,285,62,489
1,0,1279152000,938,955,692
1,2,1282521600,938,868,35
0,0,1262872320,59,886,643
0,0,1262779080,104,210,595
1,0,1280275200,13,248,692
1,0,1294876800,927,732,824
0,2,1265046540,485,471,35
0,2,1263574680,473,261,35
1,2,1291766400,916,81,1421
0,0,1262870760,303,472,855
0,0,1262866680,101,819,595
1,0,1297900800,10,993,824
1,0,1288742400,955,388,1403
0,2,1262889840,256,60,35
1,0,1281571200,8,273,826
1,2,1294099200,14,949,31
1,2,1282867200,938,955,31
1,0,1295568000,923,965,693
0,0,1262868180,164,392,1415
1,0,1291766400,933,418,760
1,0,1292284800,952,634,749
0,2,1263550200,864,670,31
0,0,1262868180,120,633,595
1,0,1280275200,938,955,880
0,0,1262710800,131,467,595
1,2,1289520000,2,555,35
0,2,1265045340,279,605,31
1,1,1288915200,910,960,150
1,0,1294272000,925,354,760
1,0,1280793600,943,294,749
0,2,1264004100,404,911,35
0,0,1262688720,402,209,1415
1,0,1283126400,911,808,285
1,0,1292284800,928,970,203
0,2,1265211180,772,591,35
1,0,1281484800,945,937,627
1,2,1291075200,910,960,31
0,2,1265192520,701,6,31
1,1,1280793600,943,294,39
0,0,1262872980,756,373,595
0,0,1262684100,283,479,524
1,2,1290556800,920,884,107
0,0,1262698080,337,761,437
0,2,1264604100,80,904,31
0,0,1262770260,36,39,595
1,2,1298332800,927,732,97
0,2,1263389760,272,788,35
1,2,1295481600,931,956,1421
